"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 07:43:56 GMT 2023","Thu Jul 06 07:44:01 GMT 2023","4986","","main.spec.ts","","","","Theme Update",""
"passed","Thu Jul 06 07:43:49 GMT 2023","Thu Jul 06 07:43:50 GMT 2023","1126","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Thu Jul 06 07:44:06 GMT 2023","Thu Jul 06 07:44:10 GMT 2023","3439","","main.spec.ts","","","","Bundle Create",""
"passed","Thu Jul 06 07:44:43 GMT 2023","Thu Jul 06 07:44:55 GMT 2023","12119","","main.spec.ts","","","","Prodcut Delete",""
"passed","Thu Jul 06 07:43:50 GMT 2023","Thu Jul 06 07:43:51 GMT 2023","933","","main.spec.ts","","","","Get all the Themes List",""
"passed","Thu Jul 06 07:43:36 GMT 2023","Thu Jul 06 07:43:37 GMT 2023","1188","","main.spec.ts","","","","Login",""
"passed","Thu Jul 06 07:44:11 GMT 2023","Thu Jul 06 07:44:13 GMT 2023","2113","","main.spec.ts","","","","Products Hash",""
"passed","Thu Jul 06 07:44:27 GMT 2023","Thu Jul 06 07:44:29 GMT 2023","2030","","main.spec.ts","","","","License Activation",""
"passed","Thu Jul 06 07:43:37 GMT 2023","Thu Jul 06 07:43:39 GMT 2023","1113","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Thu Jul 06 07:44:13 GMT 2023","Thu Jul 06 07:44:16 GMT 2023","3365","","main.spec.ts","","","","License Mapping",""
"passed","Thu Jul 06 07:43:54 GMT 2023","Thu Jul 06 07:43:56 GMT 2023","2424","","main.spec.ts","","","","Premium Theme Create",""
"passed","Thu Jul 06 07:43:39 GMT 2023","Thu Jul 06 07:43:40 GMT 2023","1016","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Thu Jul 06 07:44:20 GMT 2023","Thu Jul 06 07:44:23 GMT 2023","2357","","main.spec.ts","","","","Order Create",""
"passed","Thu Jul 06 07:44:10 GMT 2023","Thu Jul 06 07:44:11 GMT 2023","1022","","main.spec.ts","","","","Products List",""
"passed","Thu Jul 06 07:43:44 GMT 2023","Thu Jul 06 07:43:49 GMT 2023","5261","","main.spec.ts","","","","Plugin Update",""
"passed","Thu Jul 06 07:44:29 GMT 2023","Thu Jul 06 07:44:40 GMT 2023","11251","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Thu Jul 06 07:44:19 GMT 2023","Thu Jul 06 07:44:20 GMT 2023","932","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Thu Jul 06 07:43:51 GMT 2023","Thu Jul 06 07:43:54 GMT 2023","2424","","main.spec.ts","","","","Free Theme Create",""
"passed","Thu Jul 06 07:44:25 GMT 2023","Thu Jul 06 07:44:27 GMT 2023","2043","","main.spec.ts","","","","License Key",""
"passed","Thu Jul 06 07:43:40 GMT 2023","Thu Jul 06 07:43:41 GMT 2023","1665","","main.spec.ts","","","","Free Plugin Create",""
"passed","Thu Jul 06 07:43:41 GMT 2023","Thu Jul 06 07:43:44 GMT 2023","2520","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Thu Jul 06 07:44:16 GMT 2023","Thu Jul 06 07:44:19 GMT 2023","3321","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Thu Jul 06 07:44:23 GMT 2023","Thu Jul 06 07:44:25 GMT 2023","2000","","main.spec.ts","","","","Order Details",""
"passed","Thu Jul 06 07:44:40 GMT 2023","Thu Jul 06 07:44:43 GMT 2023","2623","","main.spec.ts","","","","weMail Integration",""
"passed","Thu Jul 06 07:44:01 GMT 2023","Thu Jul 06 07:44:06 GMT 2023","5275","","main.spec.ts","","","","Release Create",""
